,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
264,ADA,4/4/2017,cardano,0,-0.04736,0,0.95412,0.04588
265,LTC,4/4/2017,litecoin,8.97,0.065276,0.08024,0.8768,0.04296
266,XLM,4/4/2017,stellar,0.003011,0.154336,0.13848,0.8058,0.05568
267,NEO,4/4/2017,neo,0.1941,-0.022572,0.02356,0.9368,0.03964
268,EOS,4/4/2017,eos,0,-0.020432,0.02684,0.93012,0.043
269,XEM,4/4/2017,nem,0.01847,-0.044104,0.00404,0.97664,0.01928
270,BTC,4/5/2017,bitcoin,1129.87,0.154068,0.1266,0.79768,0.07572
271,ETH,4/5/2017,ethereum,44.9,0.098524,0.09436,0.87436,0.03128
272,XRP,4/5/2017,ripple,0.03559,0.162884,0.09128,0.87928,0.02944
273,BCH,4/5/2017,bitcoin cash,0,0.009348,0.06516,0.88748,0.04744
274,ADA,4/5/2017,cardano,0,-0.039072,0,0.9814,0.0186
275,LTC,4/5/2017,litecoin,12.39,0.091192,0.07648,0.89116,0.03236
276,XLM,4/5/2017,stellar,0.003082,-0.000344,0.10408,0.81952,0.0764
277,NEO,4/5/2017,neo,0.1786,-0.002988,0.00928,0.96364,0.02708
278,EOS,4/5/2017,eos,0,0.03552,0.03424,0.85056,0.0352
279,XEM,4/5/2017,nem,0.01755,-0.021068,0,0.9928,0.0072
280,BTC,4/6/2017,bitcoin,1188.7,0.026944,0.10888,0.81872,0.07244
281,ETH,4/6/2017,ethereum,43.23,0.122736,0.07428,0.91916,0.0066
282,XRP,4/6/2017,ripple,0.0332,0.031716,0.03912,0.92816,0.03272
283,BCH,4/6/2017,bitcoin cash,0,0.216116,0.12212,0.84268,0.03512
284,ADA,4/6/2017,cardano,0,-0.038628,0.04,0.91408,0.04592
285,LTC,4/6/2017,litecoin,10.7,0.102036,0.07668,0.89328,0.03004
286,XLM,4/6/2017,stellar,0.002831,0.270416,0.15148,0.80364,0.04488
287,NEO,4/6/2017,neo,0.1842,0.035004,0.067,0.8872,0.0458
288,EOS,4/6/2017,eos,0,0.04618,0.065,0.90412,0.03088
289,XEM,4/6/2017,nem,0.01667,0.012148,0.01704,0.96424,0.01872
290,BTC,4/7/2017,bitcoin,1190.49,0.17456,0.11884,0.85172,0.02944
291,ETH,4/7/2017,ethereum,42.31,0.169192,0.09952,0.8912,0.00928
292,XRP,4/7/2017,ripple,0.03715,0.09518,0.08612,0.89068,0.0232
293,BCH,4/7/2017,bitcoin cash,0,0.16142,0.09716,0.88212,0.0208
294,ADA,4/7/2017,cardano,0,-0.033888,0.02008,0.93068,0.04924
295,LTC,4/7/2017,litecoin,9.89,0.021624,0.06,0.90748,0.03252
296,XLM,4/7/2017,stellar,0.002719,0.276096,0.14996,0.81208,0.03796
297,NEO,4/7/2017,neo,0.1879,0.026376,0.02944,0.96412,0.00644
298,EOS,4/7/2017,eos,0,-0.031588,0.02768,0.93884,0.03344
299,XEM,4/7/2017,nem,0.01703,-0.077656,0,0.96796,0.03204
300,BTC,4/8/2017,bitcoin,1180.78,0.065068,0.07876,0.87132,0.04992
301,ETH,4/8/2017,ethereum,44.37,0.037432,0.08936,0.8592,0.05144
302,XRP,4/8/2017,ripple,0.03575,0.107752,0.05864,0.93372,0.00764
303,BCH,4/8/2017,bitcoin cash,0,0.220424,0.12728,0.84368,0.02904
304,ADA,4/8/2017,cardano,0,0.027036,0.02008,0.9766,0.00332
305,LTC,4/8/2017,litecoin,10.66,0.092108,0.095,0.85632,0.04868
306,XLM,4/8/2017,stellar,0.003064,0.028592,0.07744,0.85868,0.06388
307,NEO,4/8/2017,neo,0.1906,0.014448,0.00868,0.95132,0
308,EOS,4/8/2017,eos,0,0.019724,0.02864,0.94384,0.02756
309,XEM,4/8/2017,nem,0.01855,0.009648,0.0096,0.97632,0.01408
0,BTC,4/9/2017,bitcoin,1204.34,0.117052,0.09804,0.86184,0.04008
1,ETH,4/9/2017,ethereum,43.72,0.003576,0.04472,0.90616,0.04908
2,XRP,4/9/2017,ripple,0.03421,0.135016,0.08552,0.88468,0.02984
3,BCH,4/9/2017,bitcoin cash,0,0.188832,0.08636,0.90452,0.00912
4,ADA,4/9/2017,cardano,0,0.009052,0.01288,0.98712,0
5,LTC,4/9/2017,litecoin,9.21,-0.00784,0.01852,0.9552,0.02628
6,XLM,4/9/2017,stellar,0.002769,0.13156,0.07904,0.90556,0.0154
7,NEO,4/9/2017,neo,0.1915,0.00512,0.00672,0.98776,0.00556
8,EOS,4/9/2017,eos,0,0.102928,0.08384,0.89056,0.0256
9,XEM,4/9/2017,nem,0.02024,-0.004768,0.00872,0.97728,0.014
10,BTC,4/10/2017,bitcoin,1206.71,0.014268,0.04364,0.91268,0.04368
11,ETH,4/10/2017,ethereum,43.74,0.241424,0.14684,0.84156,0.0116
12,XRP,4/10/2017,ripple,0.03404,0.163864,0.12356,0.83172,0.04468
13,BCH,4/10/2017,bitcoin cash,0,0.099696,0.0954,0.85324,0.05136
14,ADA,4/10/2017,cardano,0,-0.004772,0.035,0.93724,0.02776
15,LTC,4/10/2017,litecoin,9.8,-0.053532,0.065,0.85352,0.08148
16,XLM,4/10/2017,stellar,0.002858,0.268948,0.17436,0.77136,0.05424
17,NEO,4/10/2017,neo,0.2055,-0.016596,0.04624,0.91156,0.04224
18,EOS,4/10/2017,eos,0,0.00314,0.05512,0.88552,0.05936
19,XEM,4/10/2017,nem,0.02113,-0.029292,0.00364,0.98004,0.01632
20,BTC,4/11/2017,bitcoin,1220.74,0.013064,0.0782,0.85848,0.06332
21,ETH,4/11/2017,ethereum,43.74,0.091868,0.04728,0.93884,0.01388
22,XRP,4/11/2017,ripple,0.03316,0.143,0.08748,0.891,0.0216
23,BCH,4/11/2017,bitcoin cash,0,0.235328,0.14504,0.80888,0.04608
24,ADA,4/11/2017,cardano,0,0.1285,0.11964,0.8666,0.01376
25,LTC,4/11/2017,litecoin,9.66,0.033004,0.09156,0.84336,0.06508
26,XLM,4/11/2017,stellar,0.0028,0.273228,0.1576,0.789,0.05344
27,NEO,4/11/2017,neo,0.2043,0.01932,0.0098,0.97876,0.01144
28,EOS,4/11/2017,eos,0,-0.007584,0.0466,0.89808,0.05532
29,XEM,4/11/2017,nem,0.02003,0.00502,0.00628,0.98956,0.00416
30,BTC,4/12/2017,bitcoin,1212.53,-0.053428,0.03372,0.90592,0.06036
31,ETH,4/12/2017,ethereum,46.38,0.1586,0.1018,0.87976,0.01844
32,XRP,4/12/2017,ripple,0.03455,0.128344,0.08976,0.89128,0.01896
33,BCH,4/12/2017,bitcoin cash,0,-0.020164,0.0146,0.96204,0.02336
34,ADA,4/12/2017,cardano,0,-0.013308,0.04868,0.91712,0.0342
35,LTC,4/12/2017,litecoin,11.6,-0.005152,0.0454,0.89664,0.05796
36,XLM,4/12/2017,stellar,0.003097,0.240948,0.12868,0.84796,0.02336
37,NEO,4/12/2017,neo,0.1899,-0.019904,0.03888,0.9362,0.02492
38,EOS,4/12/2017,eos,0,-0.049332,0.02596,0.92664,0.0474
39,XEM,4/12/2017,nem,0.02093,-0.074008,0.00756,0.93812,0.05436
40,BTC,4/13/2017,bitcoin,1176.2,0.100512,0.04916,0.94476,0.00608
41,ETH,4/13/2017,ethereum,49.97,0.081636,0.04596,0.94792,0.00612
42,XRP,4/13/2017,ripple,0.03422,0.0378,0.04104,0.92648,0.03248
43,BCH,4/13/2017,bitcoin cash,0,0.125704,0.09484,0.86624,0.03896
44,ADA,4/13/2017,cardano,0,-0.01184,0,0.99516,0.00484
45,LTC,4/13/2017,litecoin,11.06,0.211144,0.14628,0.816,0.03772
46,XLM,4/13/2017,stellar,0.003132,0.339216,0.18244,0.79332,0.02424
47,NEO,4/13/2017,neo,0.1971,0.025884,0.02308,0.96908,0.00784
48,EOS,4/13/2017,eos,0,-0.023672,0.05176,0.87756,0.07068
49,XEM,4/13/2017,nem,0.02117,0.002324,0.0248,0.94704,0.02816
50,BTC,4/14/2017,bitcoin,1177.33,0.180508,0.11296,0.85944,0.0276
51,ETH,4/14/2017,ethereum,47.32,0.1131,0.06708,0.92108,0.01184
52,XRP,4/14/2017,ripple,0.03348,0.118472,0.07624,0.8812,0.0426
53,BCH,4/14/2017,bitcoin cash,0,0.176676,0.10948,0.84956,0.041
54,ADA,4/14/2017,cardano,0,0.058956,0.02764,0.97236,0
55,LTC,4/14/2017,litecoin,11.67,0.141444,0.10524,0.8676,0.02716
56,XLM,4/14/2017,stellar,0.003223,0.319632,0.17804,0.77972,0.04224
57,NEO,4/14/2017,neo,0.1974,-0.010168,0.02156,0.9322,0.04624
58,EOS,4/14/2017,eos,0,0.047004,0.05112,0.92812,0.02076
59,XEM,4/14/2017,nem,0.02203,0.000812,0.0228,0.96024,0.01696
60,BTC,4/15/2017,bitcoin,1176.99,0.112592,0.12184,0.83272,0.04544
61,ETH,4/15/2017,ethereum,48.89,0.03618,0.05824,0.90292,0.03884
62,XRP,4/15/2017,ripple,0.03381,0.088352,0.05652,0.93264,0.01084
63,BCH,4/15/2017,bitcoin cash,0,0.103308,0.08876,0.85184,0.0594
64,ADA,4/15/2017,cardano,0,0.058956,0.02764,0.97236,0
65,LTC,4/15/2017,litecoin,11.67,-0.000944,0.05476,0.87088,0.07436
66,XLM,4/15/2017,stellar,0.003369,0.222384,0.11336,0.84232,0.04436
67,NEO,4/15/2017,neo,0.193,0.080024,0.04916,0.9056,0.04524
68,EOS,4/15/2017,eos,0,-0.084624,0.02148,0.92644,0.05208
69,XEM,4/15/2017,nem,0.02472,0.004108,0.0054,0.9946,0
70,BTC,4/16/2017,bitcoin,1176.8,0.072392,0.09116,0.85656,0.05228
71,ETH,4/16/2017,ethereum,48.22,0.127936,0.09792,0.88084,0.02124
72,XRP,4/16/2017,ripple,0.03306,-0.045048,0.0276,0.93292,0.03948
73,BCH,4/16/2017,bitcoin cash,0,0.194328,0.09352,0.8886,0.01792
74,ADA,4/16/2017,cardano,0,0.056912,0.09392,0.86376,0.04228
75,LTC,4/16/2017,litecoin,11.73,0.008768,0.04248,0.92384,0.03368
76,XLM,4/16/2017,stellar,0.003623,0.126364,0.10972,0.83864,0.05164
77,NEO,4/16/2017,neo,0.1942,0.01896,0.04548,0.90796,0.0066
78,EOS,4/16/2017,eos,0,0.076608,0.03676,0.95232,0.01092
79,XEM,4/16/2017,nem,0.02397,-0.029704,0,0.98144,0.01856
80,BTC,4/17/2017,bitcoin,1194.01,0.012988,0.0308,0.94772,0.02148
81,ETH,4/17/2017,ethereum,47.94,0.191028,0.11128,0.88872,0
82,XRP,4/17/2017,ripple,0.03333,0.085108,0.065,0.92144,0.0136
83,BCH,4/17/2017,bitcoin cash,0,-0.015308,0.00332,0.9848,0.01188
84,ADA,4/17/2017,cardano,0,-0.027956,0.02136,0.95144,0.02716
85,LTC,4/17/2017,litecoin,11.26,0.112928,0.09936,0.8716,0.02904
86,XLM,4/17/2017,stellar,0.003531,0.075948,0.0798,0.8908,0.0294
87,NEO,4/17/2017,neo,0.1853,0.049484,0.05836,0.91848,0.02316
88,EOS,4/17/2017,eos,0,0.012812,0.05508,0.89932,0.0456
89,XEM,4/17/2017,nem,0.02611,-0.037256,0,0.9898,0.0102
90,BTC,4/18/2017,bitcoin,1206.09,0.080668,0.07436,0.879,0.04664
91,ETH,4/18/2017,ethereum,49.88,0.12016,0.07664,0.90148,0.02192
92,XRP,4/18/2017,ripple,0.03281,0.07598,0.06428,0.91552,0.0202
93,BCH,4/18/2017,bitcoin cash,0,0.05006,0.07268,0.8914,0.03592
94,ADA,4/18/2017,cardano,0,0.024252,0.02416,0.95892,0.01692
95,LTC,4/18/2017,litecoin,11.06,-0.018348,0.03708,0.91792,0.045
96,XLM,4/18/2017,stellar,0.0037,-0.032608,0.06232,0.8676,0.07012
97,NEO,4/18/2017,neo,0.1752,0.01,0.0084,0.98608,0.00552
98,EOS,4/18/2017,eos,0,-0.047444,0.0152,0.95416,0.03064
99,XEM,4/18/2017,nem,0.02825,-0.02368,0,0.99052,0.00948
100,BTC,4/19/2017,bitcoin,1215.2,0.094276,0.09876,0.85736,0.04388
101,ETH,4/19/2017,ethereum,47.88,0.037128,0.03388,0.95336,0.01276
102,XRP,4/19/2017,ripple,0.03035,0.065148,0.07828,0.87832,0.04332
103,BCH,4/19/2017,bitcoin cash,0,-0.058724,0.0366,0.87932,0.08408
