,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
117,NEO,2/12/2017,neo,0.1212,0.048776,0.03548,0.95872,0.0058
118,EOS,2/12/2017,eos,0,0.046928,0.05804,0.90576,0.0362
119,XEM,2/12/2017,nem,0.006864,0.025232,0.01956,0.96964,0.0108
120,BTC,2/13/2017,bitcoin,995.36,0.162568,0.09988,0.8932,0.00692
121,ETH,2/13/2017,ethereum,11.39,0.15226,0.08032,0.90972,0.00996
122,XRP,2/13/2017,ripple,0.00624,0.01204,0.03732,0.93816,0.02452
123,BCH,2/13/2017,bitcoin cash,0,0.018328,0.02612,0.94516,0.02872
124,ADA,2/13/2017,cardano,0,-0.00676,0.01096,0.97252,0.01648
125,LTC,2/13/2017,litecoin,3.74,0.002856,0.04736,0.92156,0.03108
126,XLM,2/13/2017,stellar,0.002041,0.299852,0.1576,0.81684,0.02556
127,NEO,2/13/2017,neo,0.1175,0.02642,0.04268,0.94872,0.0086
128,EOS,2/13/2017,eos,0,0.076648,0.08048,0.89444,0.02508
129,XEM,2/13/2017,nem,0.006613,-0.05946,0.00972,0.95916,0.03112
130,BTC,2/14/2017,bitcoin,1008.34,0.071792,0.04556,0.93508,0.01936
131,ETH,2/14/2017,ethereum,13,0.335508,0.17476,0.82524,0
132,XRP,2/14/2017,ripple,0.00622,0.094216,0.06528,0.89896,0.03576
133,BCH,2/14/2017,bitcoin cash,0,0.089268,0.05304,0.9204,0.02652
134,ADA,2/14/2017,cardano,0,6.00E-05,0.0282,0.932,0.03972
135,LTC,2/14/2017,litecoin,3.8,-0.127492,0.01212,0.91976,0.06812
136,XLM,2/14/2017,stellar,0.002097,0.204128,0.1252,0.84812,0.02672
137,NEO,2/14/2017,neo,0.1171,0.108688,0.054,0.94404,0.00196
138,EOS,2/14/2017,eos,0,0.17784,0.09344,0.87212,0.03456
139,XEM,2/14/2017,nem,0.006853,-0.01518,0.00384,0.98628,0.00988
140,BTC,2/15/2017,bitcoin,1008.19,-0.05356,0.01888,0.95792,0.0232
141,ETH,2/15/2017,ethereum,12.97,0.1143,0.05824,0.93268,0.00908
142,XRP,2/15/2017,ripple,0.0061,0.127128,0.07644,0.89568,0.02788
143,BCH,2/15/2017,bitcoin cash,0,0.115764,0.05292,0.93212,0.01496
144,ADA,2/15/2017,cardano,0,0,0,1,0
145,LTC,2/15/2017,litecoin,3.81,0.110752,0.0666,0.91872,0.01468
146,XLM,2/15/2017,stellar,0.002198,0.191548,0.12968,0.84756,0.02276
147,NEO,2/15/2017,neo,0.1126,0.123256,0.05808,0.93204,0.00988
148,EOS,2/15/2017,eos,0,0.06526,0.06776,0.88416,0.04808
149,XEM,2/15/2017,nem,0.007057,0.033312,0.01384,0.97912,0.00704
150,BTC,2/16/2017,bitcoin,1031.93,0.13868,0.0836,0.9036,0.01284
151,ETH,2/16/2017,ethereum,12.95,0.058312,0.04148,0.92848,0.03004
152,XRP,2/16/2017,ripple,0.00593,0.13616,0.09904,0.8764,0.02456
153,BCH,2/16/2017,bitcoin cash,0,0.055344,0.03496,0.94408,0.021
154,ADA,2/16/2017,cardano,0,0.021156,0.04016,0.94824,0.01156
155,LTC,2/16/2017,litecoin,3.84,0.110812,0.08008,0.88732,0.03256
156,XLM,2/16/2017,stellar,0.002146,0.20472,0.12128,0.86944,0.00924
157,NEO,2/16/2017,neo,0.127,0.069656,0.05316,0.91912,0.02772
158,EOS,2/16/2017,eos,0,0.084648,0.08604,0.83616,0.07776
159,XEM,2/16/2017,nem,0.0071,0.023484,0.02852,0.94556,0.02592
160,BTC,2/17/2017,bitcoin,1049.41,0.032636,0.03804,0.9372,0.02476
161,ETH,2/17/2017,ethereum,12.72,0.164496,0.07684,0.92316,0
162,XRP,2/17/2017,ripple,0.00587,0.09378,0.06904,0.91356,0.0174
163,BCH,2/17/2017,bitcoin cash,0,0.10118,0.04808,0.94312,0.0088
164,ADA,2/17/2017,cardano,0,-0.003328,0.016,0.94112,0.04284
165,LTC,2/17/2017,litecoin,3.83,0.013216,0.0414,0.92444,0.03416
166,XLM,2/17/2017,stellar,0.002057,0.11912,0.0896,0.87588,0.03456
167,NEO,2/17/2017,neo,0.1229,-0.027092,0.041,0.89224,0.06676
168,EOS,2/17/2017,eos,0,0.268572,0.17336,0.77792,0.04872
169,XEM,2/17/2017,nem,0.007152,0.072968,0.02748,0.97252,0
170,BTC,2/18/2017,bitcoin,1052.28,0.025572,0.05168,0.90976,0.03852
171,ETH,2/18/2017,ethereum,12.83,0.286336,0.1354,0.8646,0
172,XRP,2/18/2017,ripple,0.00554,0.010316,0.08352,0.8508,0.06572
173,BCH,2/18/2017,bitcoin cash,0,0.102028,0.05604,0.92952,0.01448
174,ADA,2/18/2017,cardano,0,-0.0217,0.01948,0.95488,0.0256
175,LTC,2/18/2017,litecoin,3.78,0.071852,0.07736,0.88728,0.03536
176,XLM,2/18/2017,stellar,0.001999,0.13122,0.08312,0.89924,0.01764
177,NEO,2/18/2017,neo,0.1231,-0.042156,0,0.9824,0.0176
178,EOS,2/18/2017,eos,0,0.08822,0.10624,0.8362,0.05756
179,XEM,2/18/2017,nem,0.006815,-0.032264,0,0.981,0.019
180,BTC,2/19/2017,bitcoin,1048.89,-0.052468,0.04496,0.88844,0.0666
181,ETH,2/19/2017,ethereum,12.82,0.13822,0.06944,0.92628,0.00428
182,XRP,2/19/2017,ripple,0.00591,0.023052,0.07596,0.866,0.05804
183,BCH,2/19/2017,bitcoin cash,0,0.067348,0.03564,0.94652,0.01784
184,ADA,2/19/2017,cardano,0,0.033376,0.02836,0.95136,0.02024
185,LTC,2/19/2017,litecoin,3.75,-0.019188,0.02508,0.9402,0.03472
186,XLM,2/19/2017,stellar,0.001982,0.23016,0.12148,0.8544,0.02412
187,NEO,2/19/2017,neo,0.123,0.032484,0.02248,0.97344,0.00412
188,EOS,2/19/2017,eos,0,-0.077308,0.0338,0.89412,0.07208
189,XEM,2/19/2017,nem,0.006307,-0.0456,0,0.97372,0.02628
190,BTC,2/20/2017,bitcoin,1077.56,0.13492,0.072,0.92172,0.00628
191,ETH,2/20/2017,ethereum,12.52,0.180608,0.08428,0.91572,0
192,XRP,2/20/2017,ripple,0.00596,0.187552,0.10504,0.87796,0.017
193,BCH,2/20/2017,bitcoin cash,0,0.115032,0.07304,0.90856,0.0184
194,ADA,2/20/2017,cardano,0,-0.004388,0.0236,0.9376,0.03872
195,LTC,2/20/2017,litecoin,3.73,0.005444,0.04696,0.91672,0.03632
196,XLM,2/20/2017,stellar,0.002069,0.379256,0.20168,0.77516,0.02316
197,NEO,2/20/2017,neo,0.1213,0.00214,0.02856,0.95876,0.01268
198,EOS,2/20/2017,eos,0,0.103596,0.08924,0.81892,0.05184
199,XEM,2/20/2017,nem,0.006477,0.012928,0.01744,0.96576,0.0168
200,BTC,2/21/2017,bitcoin,1119.03,-0.013736,0.03756,0.91992,0.04252
201,ETH,2/21/2017,ethereum,12.77,0.068652,0.07112,0.89988,0.02896
202,XRP,2/21/2017,ripple,0.00585,0.03464,0.02888,0.88536,0.00576
203,BCH,2/21/2017,bitcoin cash,0,0.055832,0.0388,0.93492,0.02628
204,ADA,2/21/2017,cardano,0,0.046188,0.05256,0.93388,0.01352
205,LTC,2/21/2017,litecoin,3.78,0.192016,0.116,0.86816,0.01584
206,XLM,2/21/2017,stellar,0.002007,0.199564,0.12728,0.846,0.02672
207,NEO,2/21/2017,neo,0.127,0.00846,0.05764,0.88964,0.05272
208,EOS,2/21/2017,eos,0,0.007604,0.0492,0.90084,0.04996
209,XEM,2/21/2017,nem,0.006314,-0.004356,0.00964,0.97716,0.0132
210,BTC,2/22/2017,bitcoin,1120.46,0.114088,0.09084,0.88312,0.02604
211,ETH,2/22/2017,ethereum,12.69,0.182972,0.09196,0.89528,0.0128
212,XRP,2/22/2017,ripple,0.00583,0.00502,0.00668,0.98712,0.0062
213,BCH,2/22/2017,bitcoin cash,0,0.131272,0.05684,0.92896,0.0142
214,ADA,2/22/2017,cardano,0,0.009316,0.0202,0.95092,0.02884
215,LTC,2/22/2017,litecoin,3.8,0.01894,0.02952,0.9432,0.02728
216,XLM,2/22/2017,stellar,0.002034,0.251208,0.14892,0.82676,0.02432
217,NEO,2/22/2017,neo,0.121,0.001296,0.06932,0.87672,0.05388
218,EOS,2/22/2017,eos,0,0.169256,0.1528,0.81696,0.03024
219,XEM,2/22/2017,nem,0.006405,0.015272,0.00376,0.99624,0
220,BTC,2/23/2017,bitcoin,1171.91,0.188492,0.10044,0.88748,0.01208
221,ETH,2/23/2017,ethereum,13.13,0.160244,0.08884,0.9018,0.00936
222,XRP,2/23/2017,ripple,0.00585,0.231004,0.11936,0.86208,0.01856
223,BCH,2/23/2017,bitcoin cash,0,0.153152,0.06844,0.91568,0.01588
224,ADA,2/23/2017,cardano,0,0.049916,0.03116,0.95324,0.01552
225,LTC,2/23/2017,litecoin,3.8,0.031088,0.04304,0.93688,0.02008
226,XLM,2/23/2017,stellar,0.001965,0.28424,0.1756,0.7936,0.0308
227,NEO,2/23/2017,neo,0.1195,0.10758,0.07492,0.91132,0.01376
228,EOS,2/23/2017,eos,0,0.03918,0.06712,0.86228,0.07056
229,XEM,2/23/2017,nem,0.006905,0.031056,0.0222,0.96744,0.01036
230,BTC,2/24/2017,bitcoin,1176.49,0.127544,0.08504,0.91496,0
231,ETH,2/24/2017,ethereum,13.11,0.10964,0.06608,0.91892,0.015
232,XRP,2/24/2017,ripple,0.0056,-0.023852,0.03124,0.93428,0.03452
233,BCH,2/24/2017,bitcoin cash,0,0.102704,0.08936,0.87004,0.0406
234,ADA,2/24/2017,cardano,0,0.011592,0.02812,0.94032,0.03152
235,LTC,2/24/2017,litecoin,3.87,-0.033336,0.016,0.95592,0.02808
236,XLM,2/24/2017,stellar,0.001871,0.21358,0.12984,0.8332,0.03696
237,NEO,2/24/2017,neo,0.1217,-0.009788,0.0204,0.9504,0.0292
238,EOS,2/24/2017,eos,0,0.063136,0.05196,0.91652,0.03152
239,XEM,2/24/2017,nem,0.006565,-0.052908,0.00252,0.96644,0.03104
240,BTC,2/25/2017,bitcoin,1149.05,0.040828,0.06248,0.90852,0.029
241,ETH,2/25/2017,ethereum,13.57,0.152888,0.09116,0.8824,0.0264
242,XRP,2/25/2017,ripple,0.005665,0.103072,0.0574,0.92804,0.01452
243,BCH,2/25/2017,bitcoin cash,0,0.13434,0.0626,0.91256,0.02484
244,ADA,2/25/2017,cardano,0,-0.000356,0.07532,0.88196,0.04272
245,LTC,2/25/2017,litecoin,3.85,0.012432,0.04796,0.92044,0.0316
246,XLM,2/25/2017,stellar,0.001881,0.267072,0.14088,0.83108,0.02804
247,NEO,2/25/2017,neo,0.1149,0.001512,0.03088,0.93916,0.02996
248,EOS,2/25/2017,eos,0,0.10062,0.06872,0.90432,0.02692
249,XEM,2/25/2017,nem,0.006336,0.003468,0.0262,0.95244,0.02132
250,BTC,2/26/2017,bitcoin,1171.58,0.084384,0.0674,0.89008,0.04252
251,ETH,2/26/2017,ethereum,14.59,0.153508,0.0908,0.89776,0.01144
252,XRP,2/26/2017,ripple,0.00561,-0.014208,0.04956,0.9016,0.04884
253,BCH,2/26/2017,bitcoin cash,0,0.227296,0.12508,0.83292,0.042
254,ADA,2/26/2017,cardano,0,0.008248,0.01756,0.96676,0.01564
255,LTC,2/26/2017,litecoin,3.82,0.122696,0.1362,0.84324,0.02056
256,XLM,2/26/2017,stellar,0.001896,0.239996,0.1448,0.83124,0.02404
257,NEO,2/26/2017,neo,0.1156,0.008352,0.01024,0.9772,0.01256
258,EOS,2/26/2017,eos,0,0.061196,0.05532,0.91312,0.03156
259,XEM,2/26/2017,nem,0.006458,-0.03552,0,0.9864,0.0136
0,BTC,2/27/2017,bitcoin,1188.83,0.134056,0.10168,0.88364,0.01468
1,ETH,2/27/2017,ethereum,15.55,0.160356,0.09344,0.90252,0.00404
2,XRP,2/27/2017,ripple,0.00556,0.013012,0.03272,0.94572,0.02156
3,BCH,2/27/2017,bitcoin cash,0,0.081716,0.046,0.93892,0.01508
4,ADA,2/27/2017,cardano,0,0.028788,0.02728,0.95824,0.01444
5,LTC,2/27/2017,litecoin,3.83,-0.013976,0.03196,0.92924,0.0388
6,XLM,2/27/2017,stellar,0.001776,0.244872,0.12528,0.86684,0.00788
7,NEO,2/27/2017,neo,0.1165,0.003488,0.04988,0.9316,0.01852
8,EOS,2/27/2017,eos,0,0.059368,0.05144,0.916,0.03256
9,XEM,2/27/2017,nem,0.006427,0.031096,0.02304,0.96312,0.01384
10,BTC,2/28/2017,bitcoin,1189.27,-0.02492,0.02948,0.9324,0.03816
11,ETH,2/28/2017,ethereum,16.07,0.208808,0.12088,0.87912,0
12,XRP,2/28/2017,ripple,0.00557,0.2154,0.15044,0.8064,0.04312
13,BCH,2/28/2017,bitcoin cash,0,0.084772,0.08896,0.87608,0.03496
14,ADA,2/28/2017,cardano,0,0.056508,0.06216,0.93784,0
15,LTC,2/28/2017,litecoin,3.77,0,0,1,0
16,XLM,2/28/2017,stellar,0.001847,0.156868,0.11456,0.86448,0.02096
17,NEO,2/28/2017,neo,0.1182,-0.026748,0.04688,0.90868,0.04444
18,EOS,2/28/2017,eos,0,-0.044728,0.00428,0.95288,0.04284
19,XEM,2/28/2017,nem,0.00713,0.06592,0.02512,0.97488,0
