,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
92,XRP,6/10/2017,ripple,0.2598,-0.003016,0.02784,0.95268,0.01948
93,BCH,6/10/2017,bitcoin cash,0,0.186416,0.10224,0.85168,0.04616
94,ADA,6/10/2017,cardano,0,0.04578,0.05956,0.92012,0.02032
95,LTC,6/10/2017,litecoin,30.06,0.022868,0.06336,0.87368,0.063
96,XLM,6/10/2017,stellar,0.0419,0.204684,0.12416,0.84104,0.03488
97,NEO,6/10/2017,neo,1.57,-0.03192,0.05224,0.90232,0.0454
98,EOS,6/10/2017,eos,0,0.033984,0.04144,0.92872,0.02984
99,XEM,6/10/2017,nem,0.1918,-0.012716,0.01736,0.96596,0.01668
100,BTC,6/11/2017,bitcoin,2973.45,0.02806,0.0712,0.88084,0.04792
101,ETH,6/11/2017,ethereum,339.68,0.157304,0.1046,0.87132,0.02408
102,XRP,6/11/2017,ripple,0.2701,0.192196,0.11664,0.86088,0.02244
103,BCH,6/11/2017,bitcoin cash,0,0.032532,0.03048,0.95708,0.01244
104,ADA,6/11/2017,cardano,0,-0.00124,0.02156,0.95928,0.01916
105,LTC,6/11/2017,litecoin,33.63,0.054808,0.04936,0.92552,0.02512
106,XLM,6/11/2017,stellar,0.04516,0.231724,0.13028,0.85288,0.0168
107,NEO,6/11/2017,neo,1.68,-0.013364,0.00896,0.9772,0.01384
108,EOS,6/11/2017,eos,0,0.05328,0.0526,0.93332,0.01412
109,XEM,6/11/2017,nem,0.2165,0.037892,0.02296,0.97244,0.0046
110,BTC,6/12/2017,bitcoin,2656.77,0.1306,0.07424,0.90936,0.0164
111,ETH,6/12/2017,ethereum,394.66,0.024604,0.06172,0.91272,0.02556
112,XRP,6/12/2017,ripple,0.2467,0.181336,0.16288,0.8258,0.01128
113,BCH,6/12/2017,bitcoin cash,0,0.14506,0.06988,0.92308,0.00704
114,ADA,6/12/2017,cardano,0,0.039752,0.0454,0.93976,0.01484
115,LTC,6/12/2017,litecoin,28.98,0.110832,0.05624,0.92188,0.02188
116,XLM,6/12/2017,stellar,0.03852,0.100548,0.0676,0.91508,0.01732
117,NEO,6/12/2017,neo,1.35,-0.04498,0.00628,0.94252,0.05124
118,EOS,6/12/2017,eos,0,-0.021716,0.03872,0.92788,0.03336
119,XEM,6/12/2017,nem,0.1913,-0.038244,0.00668,0.95556,0.03776
120,BTC,6/13/2017,bitcoin,2712.99,0.115252,0.06856,0.90508,0.02636
121,ETH,6/13/2017,ethereum,388.09,0.086456,0.09256,0.8714,0.03604
122,XRP,6/13/2017,ripple,0.2626,0.010544,0.02608,0.95468,0.01924
123,BCH,6/13/2017,bitcoin cash,0,0.203236,0.09532,0.8998,0.00488
124,ADA,6/13/2017,cardano,0,0.023976,0.0246,0.95776,0.01764
125,LTC,6/13/2017,litecoin,30.38,0.155632,0.09628,0.86888,0.03488
126,XLM,6/13/2017,stellar,0.04106,0.248136,0.156,0.82516,0.01884
127,NEO,6/13/2017,neo,1.81,0.17012,0.14076,0.83196,0.02728
128,EOS,6/13/2017,eos,0,0.095448,0.06864,0.89932,0.03208
129,XEM,6/13/2017,nem,0.203,-0.046168,0.03636,0.90884,0.0548
130,BTC,6/14/2017,bitcoin,2467.27,-0.026312,0.07368,0.858,0.06828
131,ETH,6/14/2017,ethereum,343.84,0.208928,0.12164,0.86248,0.01584
132,XRP,6/14/2017,ripple,0.2623,0.039492,0.06276,0.88576,0.05148
133,BCH,6/14/2017,bitcoin cash,0,0.166024,0.08248,0.887,0.03056
134,ADA,6/14/2017,cardano,0,0.021568,0.02392,0.95844,0.01764
135,LTC,6/14/2017,litecoin,29.19,0.057316,0.0466,0.9394,0.014
136,XLM,6/14/2017,stellar,0.03824,0.211412,0.1204,0.85708,0.0226
137,NEO,6/14/2017,neo,1.52,-0.02344,0.02144,0.93892,0.03964
138,EOS,6/14/2017,eos,0,-0.053268,0.023,0.88016,0.05684
139,XEM,6/14/2017,nem,0.1944,0.051432,0.03636,0.96,0.00364
140,BTC,6/15/2017,bitcoin,2442.46,-0.006848,0.03844,0.93012,0.03144
141,ETH,6/15/2017,ethereum,344.68,0.095992,0.06476,0.93028,0.00496
142,XRP,6/15/2017,ripple,0.245,0.12452,0.09932,0.85732,0.04332
143,BCH,6/15/2017,bitcoin cash,0,0.197336,0.10276,0.88372,0.01348
144,ADA,6/15/2017,cardano,0,0.046352,0.02748,0.97252,0
145,LTC,6/15/2017,litecoin,29.29,0.199056,0.1118,0.88356,0.00464
146,XLM,6/15/2017,stellar,0.03599,0.189148,0.10296,0.88464,0.0124
147,NEO,6/15/2017,neo,1.65,-0.034828,0.008,0.96904,0.02296
148,EOS,6/15/2017,eos,0,0.02828,0.02376,0.95648,0.01984
149,XEM,6/15/2017,nem,0.1868,-0.018528,0.0054,0.969,0.0256
150,BTC,6/16/2017,bitcoin,2508.58,0.028088,0.08228,0.84836,0.06944
151,ETH,6/16/2017,ethereum,353.61,0.027324,0.058,0.89992,0.04208
152,XRP,6/16/2017,ripple,0.2506,0.168708,0.10748,0.82996,0.02248
153,BCH,6/16/2017,bitcoin cash,0,0.028844,0.1146,0.8022,0.0832
154,ADA,6/16/2017,cardano,0,0.046352,0.02748,0.97252,0
155,LTC,6/16/2017,litecoin,34.12,0.160548,0.09292,0.89856,0.00852
156,XLM,6/16/2017,stellar,0.03656,0.143412,0.10672,0.852,0.04128
157,NEO,6/16/2017,neo,2.53,0.058444,0.05036,0.9156,0.03408
158,EOS,6/16/2017,eos,0,0.067312,0.07916,0.87944,0.04144
159,XEM,6/16/2017,nem,0.1858,-0.049004,0,0.97592,0.02408
160,BTC,6/17/2017,bitcoin,2655.1,0.161924,0.08,0.90956,0.01044
161,ETH,6/17/2017,ethereum,368.1,0.1312,0.09136,0.89544,0.0132
162,XRP,6/17/2017,ripple,0.2597,-0.014316,0.04024,0.92244,0.03732
163,BCH,6/17/2017,bitcoin cash,0,-0.282988,0.05464,0.81428,0.13092
164,ADA,6/17/2017,cardano,0,-0.01184,0,0.99456,0.00544
165,LTC,6/17/2017,litecoin,45.8,0.21552,0.12712,0.87288,0
166,XLM,6/17/2017,stellar,0.03988,0.136264,0.08044,0.90532,0.01424
167,NEO,6/17/2017,neo,3.65,-0.019744,0.04,0.9244,0.0356
168,EOS,6/17/2017,eos,0,0.049972,0.03516,0.94736,0.01748
169,XEM,6/17/2017,nem,0.2007,0.038404,0.018,0.973,0.009
170,BTC,6/18/2017,bitcoin,2539.56,0.121696,0.086,0.89864,0.01536
171,ETH,6/18/2017,ethereum,351.53,0.169792,0.12956,0.8112,0.05924
172,XRP,6/18/2017,ripple,0.2651,0.183864,0.1018,0.8886,0.0096
173,BCH,6/18/2017,bitcoin cash,0,0.09982,0.10236,0.83296,0.06468
174,ADA,6/18/2017,cardano,0,-0.012644,0.01164,0.96252,0.02584
175,LTC,6/18/2017,litecoin,43.8,0.061116,0.05256,0.9196,0.02788
176,XLM,6/18/2017,stellar,0.03809,0.177036,0.10248,0.8808,0.01672
177,NEO,6/18/2017,neo,5.56,0.05032,0.0266,0.96048,0.01292
178,EOS,6/18/2017,eos,0,-0.011556,0.03532,0.89488,0.06976
179,XEM,6/18/2017,nem,0.1915,-0.017148,0.00952,0.98076,0.00972
